locus_tag,gene,glucose_NH4,glucose_glutamine,glucose_glutamate,glucose_ornithine,glucose_adenine,glucose_malate_NH4,glucose_nitrate,malate_NH4,pyruvate_NH4,fructose_NH4,glycerol_NH4,gluconate_NH4,succinate_glutamate,Casette,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
BSU34870,hisF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348081027,0.0,Erm,7.6923076923076925,59.0,0.0,51.0,0.0,45.0
BSU34880,hisA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068540814,0.0,0.315231687,0.0,Erm,7.6923076923076925,60.0,0.0,52.0,0.0,46.0
BSU34890,hisH,0.0,0.0,0.0,0.0,0.0,0.262252665,0.0,0.524519075,0.0,0.168007499,0.0,0.424436606,0.0,Erm,30.76923076923077,26.0,7.6923076923076925,15.0,0.0,47.0
BSU34900,hisB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281496561,0.0,Erm,7.6923076923076925,61.0,0.0,53.0,0.0,48.0
BSU34910,hisD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294565007,0.0,0.0,0.0,0.214553522,0.0,Erm,15.384615384615385,42.0,0.0,54.0,0.0,49.0
BSU34920,hisG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072127249,0.0,0.277196685,0.0,Erm,7.6923076923076925,62.0,0.0,55.0,0.0,50.0
BSU36900,glyA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177708787,0.0,0.0,0.0,0.323161474,0.0,Erm,15.384615384615385,43.0,0.0,56.0,0.0,51.0
BSU00730,cysK,0.038789483,0.120961192,0.08546551,0.0,0.0,0.0,0.0,0.18492971,0.077123226,0.0,0.0,0.0,0.084009852,Kan,15.384615384615385,44.0,0.0,57.0,0.0,52.0
BSU00930,cysE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,76.0,0.0,58.0,0.0,53.0
BSU10020,serC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,77.0,0.0,59.0,0.0,54.0
BSU11190,argC,0.049388348,0.077172047,0.080405692,1.016501683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,7.6923076923076925,63.0,7.6923076923076925,16.0,7.6923076923076925,7.0
BSU11200,argJ,0.087225175,0.117399004,0.105419942,0.773268327,0.0,0.240845054,0.0,0.351223177,0.086804564,0.0,0.080332519,0.0,0.0,Kan,38.46153846153847,21.0,7.6923076923076925,17.0,0.0,55.0
BSU11210,argB,0.0,0.123685222,0.07507044,0.962619821,0.0,0.0,0.0,0.119980568,0.0,0.0,0.0,0.0,0.0,Kan,23.076923076923077,32.0,7.6923076923076925,18.0,0.0,56.0
BSU11220,argD,0.182329419,0.389916603,0.406020076,0.899270463,0.101393297,0.274954226,0.0,0.335902856,0.163197956,0.067775025,0.149194929,0.0,0.167978516,Kan,76.92307692307693,6.0,7.6923076923076925,19.0,0.0,57.0
BSU11250,argF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kan,0.0,78.0,0.0,60.0,0.0,58.0
BSU13120,proB,0.198987447,0.23651202,0.444552554,0.957231839,0.581811081,0.428653429,0.251406281,0.605907165,0.164723741,0.087029985,0.165464285,0.0,0.398319974,Kan,84.61538461538461,3.0,23.076923076923077,6.0,0.0,59.0
