block,rmse_increase_mean,rmse_increase_std,n_folds
Auxotroph type,0.01138939722178236,0.004899072339320673,50
Species,0.010205111328436404,0.00555292825597166,50
Environment,0.006802864637040379,0.0037782139526836693,50
Prototroph growth,0.004413436025117999,0.004591413136406578,50
AA requirements,0.0019257032105798523,0.0016086226706850321,50
