locusId	sysName	desc	comb	set1IT003 D-Glucose (C)	set1IT004 D-Glucose (C)	set1IT005 D-Fructose (C)	set1IT006 D-Fructose (C)	set1IT007 Sucrose (C)	set1IT008 Sucrose (C)	set1IT009 D-Maltose (C)	set1IT010 D-Maltose (C)	set1IT011 D-Xylose (C)	set1IT012 D-Xylose (C)	set1IT013 D-Galactose (C)	set1IT014 D-Galactose (C)	set1IT015 D-Ribose (C)	set1IT016 D-Ribose (C)	set1IT017 L-Fucose (C)	set1IT018 L-Fucose (C)	set1IT019 a-Ketoglutaric (C)	set1IT020 a-Ketoglutaric (C)	set1IT021 D-Glucuronic Acid (C)	set1IT022 D-Glucuronic Acid (C)	set1IT023 D-Gluconic Acid (C)	set1IT024 D-Gluconic Acid (C)	set1IT025 D-Glucose-6-Phosphate (C)	set1IT026 D-Glucose-6-Phosphate (C)	set1IT027 acetate (C)	set1IT028 acetate (C)	set1IT029 Fumarate (C)	set1IT031 D-Lactate (C)	set1IT032 D-Lactate (C)	set1IT035 D,L-Lactate (C)	set1IT036 D,L-Lactate (C)	set1IT037 pyruvate (C)	set1IT038 pyruvate (C)	set1IT039 succinate (C)	set1IT040 succinate (C)	set1IT041 Glycolic Acid (C)	set1IT042 Glycolic Acid (C)	set1IT043 D-Mannitol (C)	set1IT044 D-Mannitol (C)	set1IT045 D-Galacturonic Acid (C)	set1IT046 D-Galacturonic Acid (C)	set1IT047 Glycerol (C)	set1IT048 Glycerol (C)	set1IT051 D-Sorbitol (C)	set1IT052 D-Sorbitol (C)	set1IT053 L-Malic (C)	set1IT054 L-Malic (C)	set1IT055 D-Trehalose (C)	set1IT056 D-Trehalose (C)	set1IT057 D-Serine (C)	set1IT058 D-Serine (C)	set1IT059 casaminos (C)	set1IT060 casaminos (C)	set1IT061 NAG (C)	set1IT062 NAG (C)	set1IT063 D-Glucosamine Hydrochloride (C)	set1IT064 D-Glucosamine Hydrochloride (C)	set1IT065 D-Mannose (C)	set1IT066 D-Mannose (C)	set1IT067 D-Galacturonic Acid (C) MOPS	set1IT068 D-Galacturonic Acid (C) MOPS	set1IT069 D-Glucose (C) MOPS	set1IT070 D-Glucose (C) MOPS	set1IT071 L-Arginine (N)	set1IT072 L-Arginine (N)	set1IT073 L-Aspartic Acid (N)	set1IT074 L-Aspartic Acid (N)	set1IT075 L-Serine (N)	set1IT076 L-Serine (N)	set1IT077 L-Asparagine (N)	set1IT078 L-Asparagine (N)	set1IT079 L-Glutamine (N)	set1IT080 L-Glutamine (N)	set1IT081 Glycine (N)	set1IT082 Glycine (N)	set1IT083 L-Alanine (N)	set1IT084 L-Alanine (N)	set1IT085 D-Serine (N)	set1IT086 D-Serine (N)	set1IT087 D-Alanine (N)	set1IT088 D-Alanine (N)	set1IT089 Gly-DL-Asp (N)	set1IT090 Gly-DL-Asp (N)	set1IT091 Gly-Glu (N)	set1IT092 Gly-Glu (N)	set1IT093 casaminos (N)	set1IT094 casaminos (N)	set1IT095 Putrescine (N)	set1IT096 Putrescine (N)	set2IT069 LB	set2IT095 D-Galacturonic Acid (C) M9	set2IT096 D-Glucose (C) M9
14146	b0001	thr operon leader peptide (NCBI)	b0001 thr operon leader peptide (NCBI)	-0.564669589800573	0.123977308648882	-0.0835724098419748	-0.343608748312614	-0.685707791860407	-0.159966483435895	-0.125600015403599	-0.274436000606043	-0.301186612864467	-0.0273260259448946	-1.27985872738949	-1.2488906086883	-0.50316716653844	-0.109775166549481	-0.675797179505217	-0.826105645016334	-0.104135905684489	-0.413150441651104	-0.269437034688991	-0.688842681337858	-0.266924183909156	-0.718592063092664	-0.316439370009425	-0.760233355493946	-0.0121869781136288	-0.238200269496316	-0.507105147574726	-0.703103466979411	-0.480127982055175	-0.385832253011346	-0.882070428418003	-0.529561135830188	-1.01299137316451	0.166459006681959	-0.0537519758376543	-0.338857526082853	0.23739216691822	-0.462292731037889	-1.09878073660012	-0.235922299542392	-0.241889084255986	0.0497044364714216	-0.133011322601514	-0.39112448086508	0.0450335204139811	0.205288540604995	0.374657116966233	-0.700441098496608	-0.75456845914295	-1.03960545119098	-1.05069163573233	0.520097404425255	-0.161282299269579	-0.683143856413505	-0.678951226321293	-0.477567001777226	-0.161017096002373	0.170674181524026	-0.832543598830476	-0.299135539599834	-0.456795947854342	-0.459849493261252	-0.855533416782461	0.0877374520394594	0.297152549440663	-0.594058459607428	-0.464212297981551	-1.67066275592521	-1.12043185831858	-0.654803559218566	-0.184406800366065	-0.774553727846856	-0.78316703754992	-0.447547247440604	0.200466645503756	0.108835676878415	0.10396703007179	-0.870190713521998	-0.967379110675223	-0.369326082428271	0.16893279887735	-0.360693281883627	-0.204372888657699	-0.0279224855703515	-0.117041859792467	-0.324823046052227	-0.322559400249268	0.202622450432651	0.0651049810932751	0.404791692289341	-1.96666535513101	-1.98365082554737
14147	b0002	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	b0002 bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	-3.45991153686762	-3.68969498313657	-4.03633012467346	-4.29785831999112	-4.13105962439254	-4.17678491028968	-3.91791712030732	-3.86491538764683	-4.09149108870346	-4.0881946344922	-4.68748451091489	-4.0260694339586	-3.70479428259562	-3.48279051021203	-3.47960882059283	-3.76862045364165	-4.51776487150466	-4.34609141251511	-3.80862176730199	-3.55347826817837	-4.00771215804403	-3.3864238777243	-5.09385022323546	-5.3720604610836	-3.78770712042612	-3.28271815890573	-2.11504941776936	-4.94896824766351	-4.68045280769612	-3.78470728120902	-3.47995581717684	-3.43697343022689	-3.73762839780683	-3.92979812534139	-3.77637906459449	-1.96540242919173	-2.03786736268965	-5.31364766927407	-6.03951410986275	-4.0490360088788	-4.32057114367946	-4.14960663327993	-3.6803579715953	-4.26490647296349	-3.67048642777932	-4.05079495279054	-4.14228039587034	-4.18064925099168	-4.34031160257288	-2.31861644520863	-2.08867656936277	-0.0350736808494123	-0.0981806400175578	-4.03813459293601	-4.1225692079303	-5.02082878874016	-4.56108555685975	-4.76071170172976	-4.50360609989688	-4.76806710425866	-4.56139520845814	-4.81864908621001	-4.41769589881024	-1.16773090517132	-1.05864013415405	-4.37781720085449	-4.42303485258478	-3.97794689107553	-4.0360067404028	-5.04191972931078	-4.77139833720744	-3.39856020569112	-3.30375216994477	-3.67581264136908	-3.70297483244171	-3.65459085851911	-3.26431933189494	-2.67378272533149	-3.62390712006835	-3.94848236115405	-5.64949336972871	-5.67462631743763	-5.75917905431256	-3.32825060719241	-3.26287483069076	0.0081139942667634	-0.0887422682357701	-4.59853272813562	-4.66323204654412	0.0297683671806274	-4.08811815754903	-3.42132672392075
14148	b0003	homoserine kinase (NCBI)	b0003 homoserine kinase (NCBI)	-2.96985871975507	-3.53245555735215	-3.76687105326372	-3.26324225277559	-3.73628232512759	-3.75123701760356	-3.8972906899432	-3.47642847062236	-3.82985904168033	-5.18408956103995	-3.78644215958568	-3.68600792713021	-4.6660118631909	-4.11724624392963	-3.50536745397384	-3.55771162031982	-5.35514780956492	-4.95139426930352	-4.0800782622706	-4.23715826543731	-3.30996123957773	-3.31188270186963	-3.69826439669081	-4.1356225649909	-3.59093827360679	-3.97961235353831	-2.73664149216856	-4.4888699902039	-4.29417373459903	-3.60100032386014	-3.75223704894367	-3.2684483816052	-2.92796638899318	-4.49534810574892	-4.66225142751368	-3.59517378002794	-3.6628861437862	-4.62193817475362	-4.6373079294308	-4.45201812610203	-4.26416907467286	-3.64719191825665	-2.52349526923423	-3.80897280280579	-4.0096390502846	-4.65955264528832	-4.88772803699963	-4.0738258437074	-4.01322838784011	-3.0279759073599	-3.48846555932481	-0.0738319680632618	0.0103814374686408	-3.46907926628513	-3.34755049744188	-4.49793868002121	-3.90740448117161	-4.91593352614456	-3.95713598303696	-3.67388473630425	-3.24250809961707	-3.97920395805524	-3.41269847592269	-3.29939089158932	-3.26159730663895	-4.07297911502553	-3.78376664801495	-4.21133614696218	-3.85208845093992	-5.09545504441596	-3.56517319735345	-3.24314821815392	-3.54403847426127	-4.1614109843968	-3.87871558941591	-3.27805909160025	-2.60875047472435	-4.20479667237332	-3.56285262272941	-3.57259166330967	-4.70751285933011	-4.20402946965622	-4.95055345609563	-4.17193750558509	-4.00138957252259	-0.186588889517452	-0.110211343059315	-4.50460420802732	-5.11584160027824	-0.438689571588999	-4.12487773727436	-3.52656835393114
14149	b0004	threonine synthase (NCBI)	b0004 threonine synthase (NCBI)	-5.35591113788588	-5.08699095735773	-5.38246207702577	-5.00922010710491	-5.56916342736576	-4.95757630507355	-4.94607990472811	-5.27643788346053	-4.86261515240933	-5.16351574590495	-4.36702423791825	-5.77411029840005	-4.10726899142843	-3.73797113722695	-6.01766190641854	-4.64559112120916	-5.29498718279058	-5.43718311822744	-5.53626013997921	-5.33579009482048	-5.20086236542168	-4.44969906005186	-6.32514484266341	-5.9796500607891	-4.70950361098662	-4.86802216789067	-3.12869471341637	-5.45384918670337	-5.7123526574891	-5.02544052005076	-5.13888866433502	-3.96061101314794	-4.9088810153134	-4.6867463901873	-5.60551457372869	-4.40334095672165	-4.55916814152053	-5.78266348986373	-6.02906869981648	-5.81299780688627	-6.19204603510215	-3.9710967374226	-2.47871597580315	-5.44166391563501	-5.56802876747941	-5.49842736364235	-5.27927399652565	-5.63214819267403	-5.48123206885659	-3.9109907277726	-4.69053688734522	-0.208805967223591	0.0044171731922551	-4.80189475299465	-5.26740504103406	-6.06464026802506	-5.55223662969067	-5.72343525068623	-6.02023689524736	-5.33837780916386	-4.9289915863483	-5.38487770035471	-6.1414878128926	-4.11202404913923	-3.59363192800319	-5.27485624504736	-4.88380958863024	-3.36938686916411	-4.78632427668088	-5.91979304722461	-4.27010879764105	-5.88093716150143	-5.84055931154604	-5.24972464980561	-5.89897390204669	-5.38148929253141	-4.03555172745174	-4.48586991880288	-5.06455647157439	-5.36387193651455	-6.09840965525157	-6.03913871542652	-6.12727102136718	-4.27574147184257	-4.32543766569196	-0.283475179078075	-0.105956392606552	-4.47702074541182	-4.61702341898109	-0.180853419193989	-4.67102951591119	-4.16768622581835
14150	b0005	hypothetical protein (NCBI)	b0005 hypothetical protein (NCBI)	-0.433647258912232	-0.210615740564047	0.346264296370763	0.260168706929728	-0.121224439430858	-0.241658139446166	0.0507652784498549	-0.317770078670727	0.0507689399508973	-0.214790307190333	-0.0320192748850652	-0.0680028016013106	-0.085731676386579	-0.259875558416258	-0.213339037460238	0.0305733840020415	0.029249289137059	-0.241913628582828	-0.135543966983017	0.234024629439705	0.0296958547762693	-0.160379123890159	-0.238516968120568	-0.0353173081356704	-0.196511524048638	-0.206963113419305	-0.556372156760893	-0.227428820791529	0.0955862336596278	0.195788054261774	0.0985454946497155	-0.0723768462227847	0.0946039273291197	-0.0294284934804461	-0.447445324454072	0.37617015885724	0.223843753159492	0.0788554493033105	0.0576000520598068	0.0882191786997142	0.107408849436877	-0.133718737957805	-0.0438107993876364	-0.0485140626462301	-0.0712191599941785	-0.158378421794113	-0.120789355152907	-0.225583396142403	0.372860732204384	0.205668589555354	-0.0663481320464663	-0.150173156755754	-0.025014368061439	0.0751346560322548	-0.144684911447406	0.150303446496007	-0.693138450298533	-0.202345171640063	0.00554965978278399	0.278116468809305	-0.469320937895123	0.346613626258726	0.12217542404226	0.065132167638779	-0.139066467925968	-0.402348482151005	0.113127826483867	0.126842538105068	0.0645338110161202	-0.0983715325984489	0.0565799525116071	0.155083360142507	0.073807631136211	0.14220872381151	-0.0834192994627323	-0.147510587009305	0.0403254197055058	0.130057344746427	0.0507192988842342	-0.0181744420429661	0.118376813573418	0.21667096652965	-0.0775779053858618	-0.163958894853562	0.0280316528288043	0.124694914276288	-0.114917316394791	0.361828356385498	-0.153336298476297	-0.506232687466143	0.029640722758807	-0.0357119739807555
14151	b0006	hypothetical protein (NCBI)	b0006 hypothetical protein (NCBI)	0.155829559280498	0.0477216819207174	-0.160781219001517	-0.118239994740645	-0.147769355084199	-0.0824795283901976	-0.0603565479856596	0.0829336652168635	-0.0702668154122583	-0.0211617402450641	-0.120254525938802	-0.189643458020135	-0.192579810039471	-0.0735159347859329	-0.0437768673931873	-0.109630351299583	-0.311677539050339	-0.169047564379306	0.0107301418407184	-0.210624655068754	-0.0100659042629125	-0.0137627785263503	-0.0186882223595062	-0.0879048999915548	-0.290292642211118	-0.251447604576366	-0.286165978379281	0.0283619207639898	0.00632088668442754	0.106359690605468	-0.185577590442625	-0.0062446209042617	-0.112194096316556	0.0330112216898018	-0.140277138175776	-0.17553311561298	-0.277734407115483	0.146002667095627	-0.0597227165604524	-0.168642910673977	-0.120503263801795	-0.088582416040426	0.0719227730458294	-0.0486556506093463	-0.107912491983525	-0.0331148827475125	-0.325501357396367	-0.0426980214304062	-0.0517678182358445	0.0359481370958075	-0.0515645865542984	0.0283677285659167	-0.168681337587229	-0.107568107433468	0.119877442662893	-0.120156538611287	-0.255519408270585	-0.0635338723952314	-0.0811966036365925	-0.0353668414597801	0.0210362783930245	-0.107652758331247	0.164443655734242	-0.239885238968692	0.000531060339938882	0.04967039615831	-0.143024501904347	0.00925266990589169	0.119243701170004	-0.0382491729396435	-0.216702465339227	-0.0774466520365558	-0.115731769856865	0.00501614712884924	-0.0712465609275814	-0.100621890192389	0.0803185668142257	0.0142247560236779	0.0126820285629223	0.0564081745756944	0.00694997678436549	-0.00622694044274352	-0.136090426307452	-0.071662312164368	-0.145762167404737	-0.0523900016979442	0.14548117732526	0.0245817350261537	-0.0943158493329792	-0.490239180156118	-0.0716697990654341	-0.146031388208237
14152	b0007	predicted transporter (NCBI)	b0007 predicted transporter (NCBI)	-0.127044390980924	-0.346493579497024	-0.106315710401537	-0.128239016458329	-0.246335573865387	-0.25567568528508	-0.140309024181264	-0.0288362930138273	-0.311561232495293	-0.415805716473899	-0.01883478758985	-0.0709498743975419	0.57275906086591	0.622690962792185	-0.166597438105432	-0.0738234728041365	-0.222829021593251	-0.278674936607586	0.0648125818593648	-0.0686097107926378	-0.119304565585401	-0.151932087311871	-0.0550895288728048	-0.0947902420963811	0.378408193788917	0.237587651087614	0.214532502994051	-0.101727114759935	-0.122409475377336	0.0959402542878638	0.100634101199589	0.108987917081941	0.140045790464634	0.0362434087402355	0.0760828384407017	0.473967530237369	0.395117212774459	-0.121737339919275	-0.0978170331982373	-0.362973267914451	-0.113744048984459	0.0266806367587	0.0247797332230988	0.00395647986471204	-0.016876657594401	-0.252458861285554	-0.360708859754218	-0.302774776587671	-0.41422300428566	-0.325833996401074	-0.0981850773235058	-0.018489073845753	-0.225511860293518	-0.134127071677724	-0.0752368230993448	-0.464836957393726	-0.284379381545603	-0.204449760482353	-0.178051612845353	-0.0834976019499507	-0.0761577293433531	0.0737703747165785	0.00519487141309116	0.376953278931214	0.144053741586075	0.0979008409719133	0.0315034507247769	0.187174097083293	-0.0303595737600904	-0.077523532981888	-0.0817365937166699	-0.0318586752983856	0.0449981731080746	-0.178556612309708	-0.0740984720857747	-0.0927579719764617	0.0706808960156664	-0.116165762425934	-0.0164584058249513	-0.143365970975325	-0.0802854096747232	-0.0931592490475581	-0.188755750107422	-0.190485737906036	-0.0896994159185651	-0.148965109263769	-0.175457308864642	-0.249558628373829	-0.307467266065452	0.0383144708707457	-0.0698825004166943	-0.0470421904266005
14153	b0008	transaldolase B (NCBI)	b0008 transaldolase B (NCBI)	-0.000546836935783723	0.110092316955509	-0.0426566374639967	-0.0250814196549263	0.0434176284523158	0.201300063166429	-0.145374690459412	-0.258683509405173	-0.975253203235967	-0.816255627580036	-0.336939076437325	-0.25564988730884	-0.650401249171271	-0.540002445014462	-0.2586222729306	-0.123386158431509	-0.091451746359378	-0.107787725402996	0.128104983467058	0.142781128582391	-0.280785843504566	-0.239735285751949	-0.0983839386618575	-0.0201019155353641	-0.0280732019227274	-0.0348765417252543	1.11990694075355	0.186633332840639	0.112732480557739	-0.0343788786870227	0.252156726520113	0.0814053557708569	0.151211475230406	1.09611458546268	0.928981249220772	1.20247172866072	0.723754841457038	-0.0799631684778317	0.093905489454797	-0.305531930483248	-0.144933173707926	-0.0802775597334091	-0.118882720892458	-0.433391843429388	-0.379818935733668	0.527017200929834	0.517002906842883	-0.175756371050745	-0.158663809829555	0.221545113751398	0.166538539406584	0.0240611607801213	0.224233361338571	-0.119971556842406	-0.298481075281544	-0.433135891753858	-0.389729652034109	0.0294047673908235	-0.106807468359969	0.077026528584714	-0.0600662428339036	0.0951589504329868	0.0761741178736788	-0.0516631899187074	-0.00545855990687816	-0.0687989791056363	-0.159980909957614	0.0254916090861104	0.0332060141117687	-0.0620672916307896	-0.091794982815711	-0.181789056448904	-0.0165946972061024	0.0462908487534799	0.0141542359551328	-0.327990309049963	-0.239342219752943	-0.790282907642248	-0.685263794001242	-0.145621213769167	-0.236320071000969	-0.150882974962733	0.140179825516929	0.0490630168133843	0.166151905185768	0.0578709504166519	-0.263482502995241	-0.346309802670132	-0.108995692036426	-0.184005786600157	-0.359282659172907	0.179309079697331
14154	b0009	molybdenum cofactor biosynthesis protein (NCBI)	b0009 molybdenum cofactor biosynthesis protein (NCBI)	-0.162273172270561	-0.0375114756074297	0.0015290671745638	0.132362592103202	-0.127894138537666	-0.0383845138310848	0.156001642401704	0.123140706011279	0.283309182627729	0.198711383280722	0.200945627732156	0.165093525624688	0.306302710221388	0.580220048659385	0.283595085712963	0.199990260372265	0.40629266849619	0.232204826239544	0.59026865529842	0.406671204443592	0.093611719401359	0.152885585090452	0.150610915788762	0.078030964841965	0.592399166100641	0.378293501580505	-0.696782337505041	0.0158552537685615	-0.0305376676877032	-0.0665447544793609	0.0198485325749467	-0.0521007649985199	-0.0953781747190046	0.327235877814481	0.395296440956012	-0.324045675277897	-0.13547755943631	-0.0646268458483013	0.0579636437483924	0.225972689803796	0.0879756505559588	0.263479843857968	-0.0630508310184383	-0.0487658724599755	0.0595518169051732	0.0136415973986888	-0.0901622382178444	-0.222869379914309	0.134523756220994	0.147789519680111	-0.0714941855437403	-0.106360696740425	-0.0347205864314291	0.0772403706360427	0.187997320195208	0.136003263100676	0.30005718853782	-0.0465852728199336	0.221346755659982	-0.195980895211264	-0.089349444777205	-0.0427564103001015	-0.085296658240029	-0.0785301573838177	0.144125938954541	-0.0495629694988715	0.0469315825484835	-0.215173043172433	-0.185743691953208	-0.0180868993782792	-0.0176002994320454	0.0316497870382979	-0.0417718828644569	0.231719747750302	0.1713474505672	-0.0314199653950795	-0.000960725503033055	-0.041901506367185	0.0541843289086681	-0.0695921464644018	-0.000697035802330603	0.162145292111636	0.110935601480155	0.0719825842764017	-0.0136846284312417	0.122017211242299	0.095562407849715	0.047876115493694	-0.189723408004792	-0.103340836315625	0.244358256259427	-0.190271129543376
14155	b0010	conserved inner membrane protein associated with acetate transport (NCBI)	b0010 conserved inner membrane protein associated with acetate transport (NCBI)	0.0882363877784877	-0.022574999433091	-0.190527010060684	-0.257365377293557	-0.192963781115035	-0.0874044283658348	-0.13135834202196	-0.0728702701951105	-0.171064568602625	-0.290537878359542	0.110458843390735	-0.0590696948728622	0.0087351829077551	-0.0875951509179453	-0.272734869241466	0.166689292794057	0.0325122970056546	-0.279775271296051	-0.281723191668327	-0.180240092387826	0.0147142634217217	-0.0959976998772933	-0.187880999193604	-0.123615814123574	-0.241740731216201	-0.192916657729667	-0.526737840017879	-0.0288465323031795	-0.124059520458767	-0.0587710472253216	0.0164252011617569	0.0385795345880242	0.152036074380133	0.0566956071351981	0.139029523378369	-0.0527234450019354	-0.557864917425803	-0.022122943337914	0.271928275468807	-0.0151817030975188	0.0212978658934651	-0.0501385144332813	-0.0457077944329864	-0.158909294445849	0.026384010383218	-0.071271236857237	-0.0826094260075567	-0.12466419662972	-0.24180437640401	-0.441836943030046	-0.227298984413996	0.260046161859662	0.208261928910474	-0.104443482121572	0.0163807701424499	-0.08834781091474	-0.299640383915421	0.102730935467288	-0.001369270337511	0.0568732033188923	-0.16422415218827	0.1216913739068	0.110154457660294	0.0864372445130321	-0.0969394504547254	-0.0362871149270672	-0.262000114897764	0.282749785801485	0.0379593511496545	0.297424367801703	0.0230861854408246	0.0491476268507727	-0.161055184631263	-0.126252520294688	-0.00866007121055978	-0.185483261915508	-0.231081503968187	-0.228978908789214	-0.0247909778214297	0.0586963662453668	-0.109090742891794	0.222128479069788	-0.0279381403964185	0.0972103819190806	-0.148081797266781	-0.0756264195834777	-0.10784603953029	0.00941089272544349	0.245454057635049	-0.0759986925478228	-0.1749425701534	0.0713721046746779
