name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set1IT002	Time0	6/19/2014 Keio_ML9_set1	2	1959009	0	1336684	1327320	227	391	364.048272078991	-0.0290799003641992	0.14801685785637	0.662965012722429	0.638325726319882	-0.0149190023171251	0.0536809574138006	0.0351497559629009	1.0717553350749	FALSE
set1IT003	D-Glucose (C)	6/19/2014 Keio_ML9_set1	3	1831987	0	1245629	1234936	217	618.5	338.709818979704	0.316367584696065	0.154177014233616	0.662418640801152	0.645434697320285	0.2044370202129	0.00823519514255229	-0.0824140818489389	1.02508769720569	TRUE
set1IT004	D-Glucose (C)	6/19/2014 Keio_ML9_set1	4	1718470	0	1168204	1158354	203	618.5	317.705430608886	0.281501015467897	0.173209149639333	0.661831264105427	0.645434697320285	0.209938952497849	0.00264339787308265	-0.0804003718954416	1.26120837383971	TRUE
set1IT005	D-Fructose (C)	6/19/2014 Keio_ML9_set1	5	1999827	0	1359778	1348439	234	618.5	369.840647284696	0.323229246510577	0.1486241098679	0.654355836138831	0.645434697320285	0.251006481766877	0.02456539643111	-0.0907922847073099	0.938187763919024	TRUE
set1IT006	D-Fructose (C)	6/19/2014 Keio_ML9_set1	6	2139479	0	1454760	1442740	250	618.5	395.704882062534	0.325265114900331	0.1505492979587	0.67111914447087	0.645434697320285	0.252326986127772	0.0146118942757965	-0.0823548652962356	0.893777048982299	TRUE
set1IT007	Sucrose (C)	6/19/2014 Keio_ML9_set1	7	1916286	0	1303666	1292890	222	618.5	354.60504662644	0.308608728727429	0.166480107445672	0.652076696579693	0.645434697320285	0.255882336974116	0.0280101309859576	-0.0901659175195803	1.06690644014618	TRUE
set1IT008	Sucrose (C)	6/19/2014 Keio_ML9_set1	8	2040747	0	1386624	1375106	240	618.5	377.154690071311	0.311261567291895	0.167676518326054	0.649502752915867	0.645434697320285	0.25420477033294	0.0325268686168563	-0.085037722045666	0.940151053656022	TRUE
set1IT009	D-Maltose (C)	6/19/2014 Keio_ML9_set1	9	1754274	0	1191498	1181658	206	618.5	324.097092704334	0.390591303777586	0.17905671278978	0.678071905112638	0.645434697320285	0.253744766989735	0.0823509924823973	-0.0860350765557787	1.63290903493601	TRUE
set1IT010	D-Maltose (C)	6/19/2014 Keio_ML9_set1	10	1627007	0	1104817	1095827	187.5	618.5	300.555951727921	0.380540894976962	0.172521032997246	0.67580173148781	0.645434697320285	0.254954724715606	0.0843557626930532	-0.0946641259306392	1.69105275565724	TRUE
set1IT011	D-Xylose (C)	6/19/2014 Keio_ML9_set1	11	1608814	0	1091341	1082292	186.5	618.5	296.843664289632	0.406382574405269	0.182768217964567	0.687409769691974	0.645434697320285	0.265990136429798	0.0471222236117927	-0.0866036696399149	1.95425637473176	TRUE
set1IT012	D-Xylose (C)	6/19/2014 Keio_ML9_set1	12	1926399	0	1305198	1294587	225	618.5	355.070488206253	0.453940501604292	0.163896384850858	0.671767328258428	0.645434697320285	0.290644401134158	0.0870524946062036	-0.0909336189763781	1.94434064683892	TRUE
set1IT013	D-Galactose (C)	6/19/2014 Keio_ML9_set1	13	1693864	0	1151047	1141331	199	618.5	313.036478332419	0.298510561565746	0.169620700244048	0.647698256069119	0.645434697320285	0.214178323129362	0.0807394831505067	-0.0869063830122764	2.90705453121279	TRUE
set1IT014	D-Galactose (C)	6/19/2014 Keio_ML9_set1	14	1639054	0	1113627	1104041	192	618.5	302.80883159627	0.270966863446205	0.176449769827401	0.670935723831009	0.645434697320285	0.176855786573935	0.0287019751715408	-0.0835503010284921	3.46201688619589	TRUE
set1IT015	D-Ribose (C)	6/19/2014 Keio_ML9_set1	15	1640776	0	1115769	1106014	186	618.5	303.349972572682	0.43685417937878	0.200518638553498	0.688798311705696	0.645434697320285	0.268066878505027	0.0720551553251554	-0.086993286796986	5.87717783785726	TRUE
set1IT016	D-Ribose (C)	6/19/2014 Keio_ML9_set1	16	1840899	0	1251392	1240551	210	618.5	340.249862863412	0.441777841674389	0.200748451732232	0.682029918681321	0.645434697320285	0.31052064042103	0.0796540597654969	-0.0858112274320601	5.92278943712401	TRUE
set1IT017	L-Fucose (C)	6/19/2014 Keio_ML9_set1	17	1695199	0	1153353	1143260	199	618.5	313.565551289084	0.379197482665727	0.192002559027894	0.679250096309919	0.645434697320285	0.273177142102986	0.041994326912892	-0.0824134424255593	1.9867860494178	TRUE
set1IT018	L-Fucose (C)	6/19/2014 Keio_ML9_set1	18	1701212	0	1155963	1146021	199	618.5	314.32281952825	0.386253957127719	0.178707459382928	0.67069237474704	0.645434697320285	0.284046580740449	0.0762236643734925	-0.0850066721844464	1.85522575854852	TRUE
set1IT019	a-Ketoglutaric (C)	6/19/2014 Keio_ML9_set1	19	1743333	0	1183647	1160886	173	618.5	318.39989029073	0.422589348425858	0.249069180049099	0.740132873244889	0.645434697320285	0.269015637645531	0.0158717394973919	-0.0788858782539014	6.95175652236601	TRUE
set1IT020	a-Ketoglutaric (C)	6/19/2014 Keio_ML9_set1	20	1777777	0	1207969	1181163	170	618.5	323.961327482172	0.421993441248539	0.245895959560395	0.739133430848916	0.645434697320285	0.287058412763636	0.033690259000938	-0.0702524887584333	7.19674425207218	TRUE
