,Aux,Environment,Num_of_points,R2,Slope,C,N
0,C,Fum_Glcn,8,0.722064004682367,0.0005496455147360402,Fum,Glcn
1,C,Gluc_Asn,6,0.9717226019397602,0.0024386129334582943,Gluc,Asn
2,C,Gluc_Glcn,6,0.9757369269016483,0.002340768509840675,Gluc,Glcn
3,C,Gluc_Glut,8,0.9471145926268513,0.0009175367668600221,Gluc,Glut
4,C,Gluc_NoN,6,0.9666162697002763,0.002046485473289597,Gluc,NoN
5,C,Gly_Glcn,5,0.9762665042191236,0.004927340823970037,Gly,Glcn
6,C,Gly_Glut,8,0.9448650424667958,0.0007101658170738853,Gly,Glut
7,F,Fum_Asn,8,0.9356151670833006,0.0004891076346165115,Fum,Asn
8,F,Fum_Glcn,7,0.946707719161615,0.0020532927115069137,Fum,Glcn
9,F,Gluc_Asn,3,0.9924883403826614,0.012576470588235295,Gluc,Asn
10,F,Gluc_Glcn,5,0.9341407802029711,0.004680898876404494,Gluc,Glcn
11,F,Gluc_Glut,8,0.8490774554827859,0.0008161715591492352,Gluc,Glut
12,F,Gluc_NoN,7,0.9314992857393302,0.0018524490274197329,Gluc,NoN
13,F,Gly_Asn,8,0.9405316261599664,0.0007209702935489543,Gly,Asn
14,F,Gly_Glcn,7,0.9003625591577822,0.0015664869932036562,Gly,Glcn
15,F,Gly_Glut,8,0.9734517896380734,0.0005768090466983067,Gly,Glut
16,L,Fum_Asn,8,0.8928596306418028,0.0006331634147770551,Fum,Asn
17,L,Fum_Glcn,6,0.9952516701796081,0.0023008434864104964,Fum,Glcn
18,L,Fum_Glut,8,0.8627635267429521,0.0006126560028124451,Fum,Glut
19,L,Fum_NoN,8,0.9756816162445147,0.0005427550243159313,Fum,NoN
20,L,Gluc_Asn,6,0.9846944705502297,0.002188191190253046,Gluc,Asn
21,L,Gluc_Glcn,6,0.9981883075750109,0.0023270852858481724,Gluc,Glcn
22,L,Gluc_Glut,6,0.9892501829846752,0.0027615745079662603,Gluc,Glut
23,L,Gluc_NoN,7,0.9273502212886362,0.001256058120459339,Gluc,NoN
24,L,Gly_Asn,7,0.9373632730584142,0.0012359971877197093,Gly,Asn
25,L,Gly_Glcn,6,0.9899973999810663,0.0026807872539831305,Gly,Glcn
26,L,Gly_Glut,5,0.9705205193534024,0.005398501872659176,Gly,Glut
27,L,Gly_NoN,8,0.8387760296438294,0.0006211284935841098,Gly,NoN
28,M,Fum_Asn,8,0.8034519410571118,0.0008236596941465987,Fum,Asn
29,M,Fum_Glcn,4,0.9677006862468075,0.009286567164179105,Fum,Glcn
30,M,Fum_Glut,5,0.9272690197102861,0.005247191011235955,Fum,Glut
31,M,Fum_NoN,8,0.8495389098546202,0.0009571219312122809,Fum,NoN
32,M,Gluc_Asn,4,0.9934257925228278,0.014286567164179104,Gluc,Asn
33,M,Gluc_Glcn,4,0.9962160983495616,0.013307462686567163,Gluc,Glcn
34,M,Gluc_Glut,4,0.9991061114647888,0.009892537313432837,Gluc,Glut
35,M,Gluc_NoN,4,0.9980431195738488,0.012298507462686566,Gluc,NoN
36,M,Gly_Glcn,4,0.9929048323839399,0.009871641791044777,Gly,Glcn
37,M,Gly_Glut,7,0.8417706683508549,0.0014804780876494024,Gly,Glut
38,M,Gly_NoN,8,0.8471791298581497,0.0008705103415948906,Gly,NoN
39,R,Gluc_Glut,8,0.93501596943956,0.0005877893009902151,Gluc,Glut
40,R,Gly_Glut,8,0.8726504003200626,0.0005755434464170623,Gly,Glut
41,S,Gluc_Asn,7,0.9149003108013696,0.00025783923131005384,Gluc,Asn
42,S,Gluc_Glut,7,0.8975968380433025,0.00022005155847199442,Gluc,Glut
